ID,Title,Description,Owner,Estimate_days,Milestone,Start_Date,Due_Date,Priority,Labels,Dependencies,Acceptance_Criteria,Validation_Steps
GA-02,Gallery image pipeline,Apply P‑01 (AVIF/WebP/srcset/lazy) to all gallery assets; descriptive alt or decorative ''.,F,1.0,M2,2025-11-11,2025-11-24,P0,"Gallery,Performance,Images",P-01,Gallery image bytes ↓ ≥50%.,Lighthouse diff; network panel bytes comparison.
P-01,Image optimisation pipeline,Export hero ≤200KB; AVIF/WebP+JPEG; srcset/sizes; lazy below fold; decoding=async.,F,1.5,M2,2025-11-11,2025-11-24,P0,"Performance,Images,LCP",,LCP ≤2.5s on 4G; gallery image bytes ↓ ≥50%.,Lighthouse/WebPageTest before/after; CLS check.
P-02,CSS/JS diet,Inline critical CSS (≤14KB); defer non-critical JS; remove unused Nicepage bundles; tree-shake.,F,2.0,M2,2025-11-11,2025-11-24,P0,"Performance,Assets,Build",,FCP improves; JS bytes reduced; no regressions.,Bundle analysis; Lighthouse opportunities cleared.
A-04,Target size & drag alternatives,Interactive targets ≥44×44 CSS px; gallery usable without drag.,F,0.5,M2,2025-11-11,2025-11-24,P1,"A11y,Mobile,Gallery",G-01,All tap targets meet min size; click alternatives exist.,Mobile tap grid overlay; manual checks.
A-05,Media accessibility,"Provide controls, captions, transcript for videos; remove placeholder error msgs.",F+C,1.0,M2,2025-11-11,2025-11-24,P1,"A11y,Media,Content",,All videos accessible or removed.,SR reads controls; captions verified.
C-04,Share‑ready social cards,Per‑page Open Graph/Twitter cards with campaign images; concise titles/descriptions.,F+C,0.5,M2,2025-11-11,2025-11-24,P1,"SEO,Social,Content",,Correct previews across platforms.,Meta validators (FB/Twitter).
P-03,HTTP hints & third‑party hygiene,Preload hero & primary font; minimal preconnects; defer third‑party scripts (Stripe/GoFundMe only where needed).,F,0.5,M2,2025-11-11,2025-11-24,P1,"Performance,Networking,ThirdParty","P-02,P-01",Reduced blocking time; minimal third‑party impact.,Performance trace; INP check.
S-01,Structured data,Add Organization globally; DonateAction on Support/Gentry; include social profiles.,F+C,0.5,M2,2025-11-11,2025-11-24,P1,"SEO,Schema,Content",G-01,Rich Results test passes; no errors.,Google Rich Results test.
S-02,Content hygiene (titles/meta),Unique <title> and meta descriptions; H1 matches intent; recommended lengths.,C,0.5,M2,2025-11-11,2025-11-24,P1,"SEO,Content,IA",,No duplicates; lengths OK; intent aligned.,Screaming Frog metadata report.
AB-01,Fix truncations & timeline,Correct 'Proud Preston Cha' truncation; add a 3‑milestone timeline.,C+U,0.5,M2,2025-11-11,2025-11-24,P2,"About,Copy,IA",G-05,No truncations; timeline present and readable.,Visual QA; copy check.
AB-02,Where the money goes visual,"Simple graphic breakdown (fabric, poles, paint, logistics) with AA contrast and text alternatives.",U,0.5,M2,2025-11-11,2025-11-24,P2,"About,DataViz,A11y",,Graphic accessible with text alternatives; contrast AA.,Contrast check; SR text alt readout.
CT-02,Success screen upgrade,Friendly confirmation with response-time SLA and share buttons.,F+C,0.5,M2,2025-11-11,2025-11-24,P2,"Contact,UX,Content",,Success page/screen implemented.,Manual submission test; visuals verified.
AN-01,Events & funnels,"Instrument CTA clicks, donation starts/completions, gallery opens, scroll depth; dashboard.",F+B,0.5,M3,2025-11-25,2025-12-08,P0,"Analytics,GA4,Conversion",C-01,Dashboard shows Home→Donate completion funnel.,GA4 debug view; test conversions.
GT-01,Live progress & deadline,"Display total raised, goal, cutoff date; accessible progress bar.",B+F,1.0,M3,2025-11-25,2025-12-08,P0,"Gentry,Data,UX",,Daily updates; bar has text equivalents.,Manual date/figure check; SR pass.
C-02,Impact copy per tier,Add plain-language impact lines for each donation tier.,C,0.5,M3,2025-11-25,2025-12-08,P1,"Content,Conversion,Support",,Each tier shows a specific impact statement.,Editorial review; optional A/B test plan.
C-03,Trust elements near CTAs,"Add FSA/FAN affiliation, quotes near Donate; display fees model (Stripe vs GoFundMe).",U+C,0.5,M3,2025-11-25,2025-12-08,P1,"Trust,Content,Conversion",,Trust cues visible within CTA viewport.,Heuristic review; click‑map heat (post‑launch).
GT-02,3‑step explainer & sponsor card,Add 3‑step explainer and business sponsor card above fold (works on 390px wide).,U+C,0.5,M3,2025-11-25,2025-12-08,P1,"Gentry,Copy,Layout",,Explainer + sponsor card visible and scannable on mobile.,Mobile viewport checks; quick usability scan.
P-04,Error handling & 404 UX,Custom 404 with search/primary links; log 4xx/5xx.,F+B,0.5,M3,2025-11-25,2025-12-08,P1,"UX,Infra,Monitoring",,Friendly 404; server logging enabled.,Manual 404 test; log inspection.
AN-02,A/B tests scaffolding (optional),Set up lightweight framework for A/B tests (hero subheadline; trust-cue proximity).,F+U+C,0.5,M3,2025-11-25,2025-12-08,P3,"Experimentation,UX,Content",AN-01,Ability to run 2 variants per test with metrics captured.,QA variant toggling; metrics visibility.
